timestamp,vm_id,hypervisor_name,hypervisor_group,scaphandre_vm_power_total_watts
2025-01-20T08:57:00Z,7f9c6bb0,a4ec376f,a6177608,71.33
2025-01-20T09:00:00Z,7f9c6bb0,a4ec376f,a6177608,60.94
2025-01-20T09:03:00Z,7f9c6bb0,a4ec376f,a6177608,74.01
2025-01-20T09:06:00Z,7f9c6bb0,a4ec376f,a6177608,64.92
2025-01-20T09:09:00Z,7f9c6bb0,a4ec376f,a6177608,71.78
2025-01-20T09:12:00Z,7f9c6bb0,a4ec376f,a6177608,63.42
2025-01-20T09:15:00Z,7f9c6bb0,a4ec376f,a6177608,68.52
2025-01-20T09:18:00Z,7f9c6bb0,a4ec376f,a6177608,69.87
2025-01-20T09:21:00Z,7f9c6bb0,a4ec376f,a6177608,77.24
2025-01-20T09:24:00Z,7f9c6bb0,a4ec376f,a6177608,92.89
2025-01-20T09:27:00Z,7f9c6bb0,a4ec376f,a6177608,92.89
2025-01-20T09:30:00Z,7f9c6bb0,a4ec376f,a6177608,92.89
2025-01-20T09:33:00Z,7f9c6bb0,a4ec376f,a6177608,
2025-01-20T09:36:00Z,7f9c6bb0,a4ec376f,a6177608,
2025-01-20T09:39:00Z,7f9c6bb0,a4ec376f,a6177608,
2025-01-20T09:42:00Z,7f9c6bb0,a4ec376f,a6177608,
2025-01-20T09:45:00Z,7f9c6bb0,a4ec376f,a6177608,
2025-01-20T09:48:00Z,7f9c6bb0,a4ec376f,a6177608,
2025-01-20T09:51:00Z,7f9c6bb0,a4ec376f,a6177608,
2025-01-20T09:54:00Z,7f9c6bb0,a4ec376f,a6177608,
2025-01-20T09:57:00Z,7f9c6bb0,a4ec376f,a6177608,
2025-01-20T10:00:00Z,7f9c6bb0,a4ec376f,a6177608,
2025-01-20T10:03:00Z,7f9c6bb0,a4ec376f,a6177608,
2025-01-20T10:06:00Z,7f9c6bb0,a4ec376f,a6177608,
2025-01-20T10:09:00Z,7f9c6bb0,a4ec376f,a6177608,
2025-01-20T10:12:00Z,7f9c6bb0,a4ec376f,a6177608,
2025-01-20T10:15:00Z,7f9c6bb0,a4ec376f,a6177608,
2025-01-20T10:18:00Z,7f9c6bb0,a4ec376f,a6177608,
2025-01-20T10:21:00Z,7f9c6bb0,a4ec376f,a6177608,
2025-01-20T10:24:00Z,7f9c6bb0,a4ec376f,a6177608,
2025-01-20T10:27:00Z,7f9c6bb0,a4ec376f,a6177608,
2025-01-20T10:30:00Z,7f9c6bb0,a4ec376f,a6177608,
2025-01-20T10:33:00Z,7f9c6bb0,a4ec376f,a6177608,
2025-01-20T10:36:00Z,7f9c6bb0,a4ec376f,a6177608,
2025-01-20T10:39:00Z,7f9c6bb0,a4ec376f,a6177608,
2025-01-20T10:42:00Z,7f9c6bb0,a4ec376f,a6177608,
2025-01-20T10:45:00Z,7f9c6bb0,a4ec376f,a6177608,
2025-01-20T10:48:00Z,7f9c6bb0,a4ec376f,a6177608,
2025-01-20T10:51:00Z,7f9c6bb0,a4ec376f,a6177608,
2025-01-20T10:54:00Z,7f9c6bb0,a4ec376f,a6177608,
2025-01-20T10:57:00Z,7f9c6bb0,a4ec376f,a6177608,
2025-01-20T11:00:00Z,7f9c6bb0,a4ec376f,a6177608,55.31
2025-01-20T11:03:00Z,7f9c6bb0,a4ec376f,a6177608,67.47
2025-01-20T11:06:00Z,7f9c6bb0,a4ec376f,a6177608,0.13
2025-01-20T11:09:00Z,7f9c6bb0,a4ec376f,a6177608,0.06
2025-01-20T11:12:00Z,7f9c6bb0,a4ec376f,a6177608,0.06
2025-01-20T11:15:00Z,7f9c6bb0,a4ec376f,a6177608,0.06
2025-01-20T11:18:00Z,7f9c6bb0,a4ec376f,a6177608,0.06
