timestamp,vm_id,hypervisor_name,hypervisor_group,scaphandre_vm_power_total_watts
2025-03-12T11:06:00Z,08500f03,497660f4,a6177608,6.76
2025-03-12T11:09:00Z,08500f03,497660f4,a6177608,0.19
2025-03-12T11:12:00Z,08500f03,497660f4,a6177608,0.06
2025-03-12T11:15:00Z,08500f03,497660f4,a6177608,0.04
2025-03-12T11:18:00Z,08500f03,497660f4,a6177608,0.04
2025-03-12T11:21:00Z,08500f03,497660f4,a6177608,1.6
2025-03-12T11:24:00Z,08500f03,497660f4,a6177608,0.48
2025-03-12T11:27:00Z,08500f03,497660f4,a6177608,0.06
2025-03-12T11:30:00Z,08500f03,497660f4,a6177608,0.06
2025-03-12T11:33:00Z,08500f03,497660f4,a6177608,0.06
2025-03-12T11:36:00Z,08500f03,497660f4,a6177608,0.06
2025-03-12T11:39:00Z,08500f03,497660f4,a6177608,0.09
2025-03-12T11:42:00Z,08500f03,497660f4,a6177608,0.05
2025-03-12T11:45:00Z,08500f03,497660f4,a6177608,0.06
2025-03-12T11:48:00Z,08500f03,497660f4,a6177608,0.06
2025-03-12T11:51:00Z,08500f03,497660f4,a6177608,0.08
2025-03-12T11:54:00Z,08500f03,497660f4,a6177608,0.06
2025-03-12T11:57:00Z,08500f03,497660f4,a6177608,0.06
2025-03-12T12:00:00Z,08500f03,497660f4,a6177608,0.06
2025-03-12T12:03:00Z,08500f03,497660f4,a6177608,0.08
2025-03-12T12:06:00Z,08500f03,497660f4,a6177608,0.06
2025-03-12T12:09:00Z,08500f03,497660f4,a6177608,0.06
2025-03-12T12:12:00Z,08500f03,497660f4,a6177608,0.06
2025-03-12T12:15:00Z,08500f03,497660f4,a6177608,0.06
2025-03-12T12:18:00Z,08500f03,497660f4,a6177608,0.07
2025-03-12T12:21:00Z,08500f03,497660f4,a6177608,0.25
2025-03-12T12:24:00Z,08500f03,497660f4,a6177608,1.0
2025-03-12T12:27:00Z,08500f03,497660f4,a6177608,0.04
2025-03-12T12:30:00Z,08500f03,497660f4,a6177608,0.04
2025-03-12T12:33:00Z,08500f03,497660f4,a6177608,0.04
2025-03-12T12:36:00Z,08500f03,497660f4,a6177608,0.04
2025-03-12T12:39:00Z,08500f03,497660f4,a6177608,0.24
2025-03-12T12:42:00Z,08500f03,497660f4,a6177608,0.08
2025-03-12T12:45:00Z,08500f03,497660f4,a6177608,0.05
2025-03-12T12:48:00Z,08500f03,497660f4,a6177608,0.05
2025-03-12T12:51:00Z,08500f03,497660f4,a6177608,0.05
2025-03-12T12:54:00Z,08500f03,497660f4,a6177608,0.05
2025-03-12T12:57:00Z,08500f03,497660f4,a6177608,0.05
2025-03-12T13:00:00Z,08500f03,497660f4,a6177608,0.05
2025-03-12T13:03:00Z,08500f03,497660f4,a6177608,0.05
2025-03-12T13:06:00Z,08500f03,497660f4,a6177608,0.05
2025-03-12T13:09:00Z,08500f03,497660f4,a6177608,0.05
