timestamp,vm_id,hypervisor_name,hypervisor_group,scaphandre_vm_power_total_watts
2025-01-16T08:18:00Z,845db8a0,8674a4f2,b8994569,83.91
2025-01-16T08:21:00Z,845db8a0,8674a4f2,b8994569,73.73
2025-01-16T08:24:00Z,845db8a0,8674a4f2,b8994569,67.03
2025-01-16T08:27:00Z,845db8a0,8674a4f2,b8994569,64.04
2025-01-16T08:30:00Z,845db8a0,8674a4f2,b8994569,65.25
2025-01-16T08:33:00Z,845db8a0,8674a4f2,b8994569,61.06
2025-01-16T08:36:00Z,845db8a0,8674a4f2,b8994569,62.53
2025-01-16T08:39:00Z,845db8a0,8674a4f2,b8994569,67.12
2025-01-16T08:42:00Z,845db8a0,8674a4f2,b8994569,63.66
2025-01-16T08:45:00Z,845db8a0,8674a4f2,b8994569,61.21
2025-01-16T08:48:00Z,845db8a0,8674a4f2,b8994569,63.88
2025-01-16T08:51:00Z,845db8a0,8674a4f2,b8994569,62.8
2025-01-16T08:54:00Z,845db8a0,8674a4f2,b8994569,62.69
2025-01-16T08:57:00Z,845db8a0,8674a4f2,b8994569,64.61
2025-01-16T09:00:00Z,845db8a0,8674a4f2,b8994569,73.01
2025-01-16T09:03:00Z,845db8a0,8674a4f2,b8994569,65.56
2025-01-16T09:06:00Z,845db8a0,8674a4f2,b8994569,66.97
2025-01-16T09:09:00Z,845db8a0,8674a4f2,b8994569,68.39
2025-01-16T09:12:00Z,845db8a0,8674a4f2,b8994569,67.38
2025-01-16T09:15:00Z,845db8a0,8674a4f2,b8994569,75.0
2025-01-16T09:18:00Z,845db8a0,8674a4f2,b8994569,87.36
2025-01-16T09:21:00Z,845db8a0,8674a4f2,b8994569,87.29
2025-01-16T09:24:00Z,845db8a0,8674a4f2,b8994569,85.66
2025-01-16T09:27:00Z,845db8a0,8674a4f2,b8994569,86.39
2025-01-16T09:30:00Z,845db8a0,8674a4f2,b8994569,87.91
2025-01-16T09:33:00Z,845db8a0,8674a4f2,b8994569,96.73
2025-01-16T09:36:00Z,845db8a0,8674a4f2,b8994569,109.21
2025-01-16T09:39:00Z,845db8a0,8674a4f2,b8994569,109.12
2025-01-16T09:42:00Z,845db8a0,8674a4f2,b8994569,119.08
2025-01-16T09:45:00Z,845db8a0,8674a4f2,b8994569,116.5
2025-01-16T09:48:00Z,845db8a0,8674a4f2,b8994569,116.9
2025-01-16T09:51:00Z,845db8a0,8674a4f2,b8994569,118.3
2025-01-16T09:54:00Z,845db8a0,8674a4f2,b8994569,116.3
2025-01-16T09:57:00Z,845db8a0,8674a4f2,b8994569,109.42
2025-01-16T10:00:00Z,845db8a0,8674a4f2,b8994569,98.68
2025-01-16T10:03:00Z,845db8a0,8674a4f2,b8994569,84.27
2025-01-16T10:06:00Z,845db8a0,8674a4f2,b8994569,103.62
2025-01-16T10:09:00Z,845db8a0,8674a4f2,b8994569,117.8
2025-01-16T10:12:00Z,845db8a0,8674a4f2,b8994569,118.37
2025-01-16T10:15:00Z,845db8a0,8674a4f2,b8994569,106.35
2025-01-16T10:18:00Z,845db8a0,8674a4f2,b8994569,85.8
2025-01-16T10:21:00Z,845db8a0,8674a4f2,b8994569,87.26
2025-01-16T10:24:00Z,845db8a0,8674a4f2,b8994569,83.44
